city,long,lat
MERE,1.819789,48.787755
MERICOURT,1.6289499,49.036021
MESNIL-LE-ROI,2.123343,48.924857
MESNIL-SAINT-DENIS,1.965686,48.740132
MESNULS,1.836899,48.756791
MEULAN-EN-YVELINES,1.916319,49.008107
MEZIERES-SUR-SEINE,1.803215,48.954992
MEZY-SUR-SEINE,1.880659,48.999663
MILLEMONT,1.74548,48.809105
MILON-LA-CHAPELLE,2.047951,48.726878
MITTAINVILLE,1.645603,48.669746
MOISSON,1.669186,49.072929
MONDREVILLE,1.553279,48.902726
MONTAINVILLE,1.860079,48.882419
MONTALET-LE-BOIS,1.830065,49.0460629
MONTCHAUVET,1.630811,48.891679
MONTESSON,2.149777,48.908587
